关系,互动强度,交配,亲密性,代沟评估,依恋,信任评估,信息传递,共有式分享,关系效价,具体性,冲突,可见性,同步性,品德评估,商品交换,对相关人员的重要性,对社会的重要性,平等性,强迫,持久性,服务交换,期待互惠性,正式性,爱的表达,独特性,理性,社会情感性,积极性,空间距离,职业性,联盟/联合组织,谈判,金钱交换,k3
祖母-孙女,-0.2270838610613584,0.8706865575949109,0.8185175006531777,1.144058420271906,1.6629178822183877,1.56025183698265,-0.0305373818069193,1.4866919369888871,1.1988348320481603,-1.2620453031633851,-0.9795938665210674,0.5022087213490063,-0.1932409061252971,0.9951940309976072,-1.0890997543608,0.8314852005011054,-0.2228333762758638,-1.0349757084364437,-0.4672847571679208,1.184998195513343,-0.388936345207258,-1.4849200379818874,-1.7117389664397429,1.3030661030148676,0.4850732155563055,-1.242162957570082,0.824514066006661,1.1696867615270428,0.0334317839690857,-0.8064820996586772,-0.2214073342148661,-1.3016130735355314,-0.921997338987362,0
祖母-孙子,0.3846607545080588,1.542231877536568,0.6737624176681121,0.9827311112767296,-0.0115724152074749,0.5832880872264473,0.3778686569221953,0.5492729927241159,0.1985276367158047,-0.6838275821811386,-0.3623587033056846,-1.485220733424574,-0.5921479382719195,-0.1438251464014803,0.3222120583642799,-0.6209316461677775,-0.3030257788562375,-0.7814798627215803,-0.7157009699927144,0.7013872816722689,0.6675588092093048,0.8779905076777289,-0.4894256213168644,0.9076207258088628,-1.2607823118819053,-0.7747803354836936,0.8474794713777701,0.15192754473342,-0.076944654137872,-0.45404440775043,0.0905893855376847,-0.5670428784022116,-0.694609545593921,2
祖父-孙女,-0.8297879158095526,0.7611954728218145,-0.3336147924932621,1.144058420271906,-1.195637560798255,0.945993191926355,0.0251543507470508,1.4703605964964694,0.5666704335109841,0.237037677160958,-0.663799131852732,1.374152052490214,-1.3672394501011162,0.3137295658870421,0.2349454430785072,-0.8752719234646323,-0.659174390316132,-1.564823582676526,0.1112187521500914,0.7045900029559845,0.2262380485036519,-0.7587300357697121,-0.2027101453003867,1.001199402857612,-0.6212649084771819,-1.188747800760209,0.7260909001304776,-0.557197108122787,-1.046848248567097,-0.7137353386301911,0.3200745760994785,-0.2230774695699428,-0.9519167854864988,0
祖父-孙子,1.0837974580159635,0.7441635263015551,0.5674117444545947,1.0461096969534058,0.584524454426327,1.6714034013261705,1.848130396347008,1.842715159723592,1.4182330644816512,-0.7205398184339795,-0.6149944910403529,1.5695876267115192,0.1046770039588891,1.4527487432861297,-1.2546054040407133,-0.0319331092697975,-0.2275505764276505,0.2075695025265734,-0.4570758717093676,0.8935505586952123,-1.611261118798066,-0.6079059583871832,0.2248480206890974,1.450980786091923,-0.6023762087985612,-0.6786330532259224,1.4773877329853442,1.4158595684771245,-0.3963317941920476,-0.7322846908358884,0.5340888549380051,-0.6953011664413626,0.3944583069746647,2
继兄-继妹,-1.5681003828760902,-0.6216363756087718,-0.8112080934984104,-1.2950568466789758,-1.290471153694542,-1.3160386438365097,-1.354763022534655,-1.5672687350932086,-2.116929415181147,0.7316330822339558,1.5324097047043277,-1.1965774238054157,-0.605613154546911,-1.909142617925992,1.4536688634487789,-1.2991723856260575,-0.7810353942372881,0.869706192426598,0.4004705068090976,-2.599550788077404,0.7388833765960771,-0.2652932393947723,0.0739451385751618,-1.781005350258429,-0.4728536967165921,1.7535370868502915,-2.3414311030105703,-1.984019596166795,1.0784852937051752,1.5431025130629712,0.1352831305160115,0.8748912083409718,1.7906991436010564,1
继兄-继弟,0.4208229977929502,-0.8973917002224958,1.1582488178630257,-1.179823054539564,-0.1885951219472101,0.3999855074318708,0.3531167757870978,0.2618414000575653,0.0398667680633374,-0.165777137279937,0.1543963170606823,-1.4170688408756058,1.6161475308266815,0.8816166201458459,0.9120140099508802,0.5302927668600929,0.1152326346021816,0.952819584464258,-0.3481810934848006,-0.3576458894763968,-0.8124259640662178,-0.7680401640032014,-1.099743944533226,-0.5936629963065562,0.5525328572656646,-0.4720944468944136,-0.3292241562085991,0.4654610700031763,0.6244545553928669,-0.3118327075067512,1.527665185610041,-0.3299593762692353,-0.4033935996689878,2
继外祖母-继外孙女,-1.2667483555019932,-1.17314702483622,-0.9687646464073252,1.2881006604461704,-2.53685551747431,0.1854824885233229,-2.518101435884254,1.0457457436936113,0.1390298109711294,1.1395468183766342,-1.568120417493874,0.0662370557784024,0.6399193508898002,1.7253345293303557,1.393484990837901,0.7310877226207679,-2.180471439267337,-0.5155170082010685,-1.437128875730471,1.5853383559778085,1.57694704339065,-2.853508888304833,-2.239899053838517,0.8955460578025723,2.0096611181878186,-1.8430834716811524,1.9891881955414972,-0.6123104231116113,-2.1153861068365813,-1.362962665829594,-2.219733431803519,-1.5348099608794423,1.7707528459349653,0
继外祖父-继外孙子,-1.085937139077535,-0.4918691640258429,-0.850597231725639,0.7983570438536707,-0.531802410524248,-0.5750282148797091,-1.4042667848048505,-0.5873883055481511,-0.6046930108373133,0.9559856371124288,1.1304891333082645,0.4871752156396751,0.0339846185151839,-1.0005233311119046,-0.1111118244340389,-0.6744769677039573,0.4611606457332052,-0.6401870962575584,-0.0759441479233831,-1.104947522343399,0.774545660289463,-0.6190781122673706,-0.2781615863573545,-1.3986408633925718,-0.0950797031441817,-0.9350258059133124,-0.7666604489916365,0.7104091366201731,-0.3305756182985409,0.3064790326831561,0.719739795617209,0.9137573562316236,0.992847236957404,1
继姐-继妹,-0.2622415975883366,-0.8487289958788974,-0.417316711226123,-1.2470427666208876,-0.3331034539796473,-1.0430348015892672,-0.0181614412393705,-1.5237184937800952,-1.4475788755535486,-0.4513167525798118,1.1687672829650322,-0.2945670812455455,-0.11749906457847,0.9789686865902124,-0.2515408605260868,-0.4290609106631324,0.1309566351081373,1.257568688602345,-0.2347490328342099,-0.5071062160497979,-0.3488162760521986,0.4236562498834449,-0.0769577435387737,-0.6339118896608572,0.6065005706331518,0.3291329052536802,-0.3073523415694476,-1.3716494296243027,1.0628290613495788,-0.8064820996586772,-0.1741351039493282,-0.0190301931440206,0.0952638419832949,1
继姐-继弟,-0.4470708410444492,-0.0539048249334577,-0.1652262265718592,-0.7976309772771818,-0.0874392895245043,-0.7271303555603156,0.259059627473726,-0.953210332578306,-1.0509267039223789,1.237446115050877,2.497019076054879,-0.2825402766780804,1.0337769269333006,-0.4748221723123254,1.5018159615374804,-0.5138410030954174,-0.08603457187405,0.7810519075864276,1.802490776450398,-1.7839244344911327,0.9885193624497796,0.6880638917145447,1.3113487719094334,-0.4447420908956436,0.7684037107356133,1.4686562505309697,-0.0186443883326426,0.4605621086708356,0.8624292871979388,1.21539729076232,0.0183917974957721,1.8232252168728769,1.5313972739418695,1
继母-继女,-0.2572190637987682,-0.5770288966271401,-0.023425328953836,0.7407401477839648,0.1455803958778,-0.1801476573435193,-0.1233569360635363,-0.1627734527452929,-0.6976583635633686,0.512379449057266,0.5850255006993215,-0.5802036897228378,-0.0543808632894475,-0.5624390321122558,0.5208188379801758,0.5302927668600929,0.6616416521841392,-0.6609654442669735,0.4004705068090976,-0.3843352335073615,0.2663581176587113,-0.6749388816683073,-0.6554187916421935,-0.3421074128421765,0.9303068508380749,0.0398008058668685,-0.3729677854869031,-0.3918571631563139,1.2663600819723375,0.0977988203690623,-0.3632240250114801,0.4473635815438014,0.8731694509608562,1
继母-继子,-1.218532031122138,-0.5307993275007217,-1.2050994757706974,0.5678894595748473,-1.2146042793775125,-1.5695422116375202,-1.1072442111836762,-1.9461558345172971,-1.660779417805302,0.5154388020783359,1.8998799414092995,-1.509274342559504,-0.3093783964970984,-2.908623833421487,0.8157198137734759,0.2357934984111024,0.4611606457332052,-0.2578654928843223,2.1155632638460284,-0.7462427385672381,0.0256377027283552,-0.8983819592720534,0.3858110949439622,-1.000176819184994,-0.3001570139406329,1.6289017209605885,-1.960861528289328,-1.0826107110162455,-0.3587568365386153,0.3992257937116422,0.3278100319611119,1.4850897302242052,1.3399128163473928,1
继父-继女,-0.5314494087091963,0.9777445071508274,-0.8387804902574701,0.809880423067612,0.1509994583290165,-1.5812423763052594,0.3036130135169017,-0.16930598894226,-0.2477060563692609,1.2496835271351572,1.0386215741320213,-1.0161753552934416,0.2056661260213252,-1.3509907703116233,0.8036830392513007,0.3964294630196429,0.5460702484653653,-0.7482345059065165,1.2035694962152792,-2.2451162993461966,0.8815325113696213,-0.3732907269032499,0.7479780120174073,-1.2537448473170891,1.0058616495525572,0.7528931492786723,-2.0527231497737657,-0.2889789751771752,1.040910336051743,0.3064790326831561,-0.0125500259507619,0.3890643597078236,0.550039428770177,1
继父-继子,-0.6841344359120725,0.7895820503555804,-0.5354841259078091,0.9712077320627884,0.0281673761014452,-0.9845339782505724,-0.3894396582658385,-0.2389863750432417,-0.4311576857486769,-0.4717124393869458,2.240555473354534,1.3290515353622203,0.3032889440150135,-0.8707205758527499,1.9953237169466769,0.8872615771012926,-0.8282073957551549,-0.4878125441885152,1.693595998225831,-1.0622445718938565,0.9350259369097004,-0.3770147781966455,1.0464303788649687,-0.171049616086398,0.0128557235907926,1.3618259369112238,-0.7885322636307885,0.0735441634159802,0.4992046965480918,0.8629595988540728,-0.2428947116082923,1.3801511309194454,1.6311287622723265,1
继祖母-继孙女,-2.431976194681835,-0.7676244886395669,-0.8702918008392535,0.932796468016318,-0.4234211614999203,-2.0375487983470784,0.4521243003274889,-0.0430102891342302,-0.2328315999330918,-0.7980434283010885,-0.9556700229855876,0.4671305413605672,-0.4372979511095177,0.2650535326648589,-1.033931204467495,-2.860910930431308,-2.0389554347137366,-1.3466509285776684,-0.575045214785982,-0.8487298196461414,-0.7945948222195247,-0.5445970863994551,-0.84823914101,0.0905681907165571,0.4086189549523651,0.8988945778923251,-0.2636087122911436,-1.518618269594501,-0.8941999831000275,-0.4045794685352373,-0.7757816709652665,0.2335997681452162,-0.6228028739959923,0
