关系,互动强度,交配,亲密性,代沟评估,依恋,信任评估,信息传递,共有式分享,关系效价,具体性,冲突,可见性,同步性,品德评估,商品交换,对相关人员的重要性,对社会的重要性,平等性,强迫,持久性,服务交换,期待互惠性,正式性,爱的表达,独特性,理性,社会情感性,积极性,空间距离,职业性,联盟/联合组织,谈判,金钱交换
继祖母-继孙子,-0.9955315308653059,-0.15123023362065446,-0.14159274363552213,1.0432288521499207,-0.23375397570734685,-0.2825240981862352,-0.6245825290492679,-0.32608685766946915,-0.9021821395606904,0.7112373954268217,0.7285685619122012,-2.940464086087831,-0.3447245892189512,0.21637749944267573,1.3032091819215845,-1.845780876307895,-0.7417253929723989,-1.7622178887659683,2.1019514165679576,-0.9448114581576131,0.2663581176587113,0.3864157369494874,-0.20271014530038672,-0.13080072273209742,-0.9045954036564896,-0.2673363457899008,-1.3900071662074645,-1.4573812529402514,-1.5282773935016998,0.3064790326831561,-0.8531362295816015,0.534812414297768,0.8133305579625822
继祖父-继孙女,-1.8694524102501873,0.4083908663307266,-0.6438042560326882,0.4958683394877149,-0.36923053698775643,-1.9790479750083836,-1.2186276762916166,-0.4567375816088102,-1.8318356668212439,-1.0325938265831285,-0.33365009106310867,-1.1364434009680908,-0.8244229190155224,-0.9518472978897214,-0.14120376073947774,-0.9087377494247448,-0.5294513861419982,-1.7206611927471385,-0.21206262070409188,-2.866444228387047,-0.0011090100416843189,-0.36770464996315616,-0.17755966494806413,-1.0665874932195905,-0.01412813309295097,0.6407213199779391,-1.5868534979598312,-2.008514402828495,-1.0116217257670037,0.6310926962828576,-0.9304907881979364,-0.660321633339776,0.06534439548415802
继祖父-继孙子,0.7221750251670472,2.0385914618412713,0.803746573817967,1.2881006604461704,0.8229632022798481,1.1799964852811342,0.30361301351690173,-3.0044266984259593,1.328986325864638,-1.2467485380580348,-1.108782621612659,-0.29456708124554554,-1.6323358955150107,0.3624055991092254,-2.097179620593,0.9988143303016679,1.2159126700190743,-1.5128777126529884,1.6255367618354768,0.6245219708630914,-1.4721782123938603,-1.6804327308851652,0.07394513857516184,1.3181594380227304,0.2287265770607414,-0.7747803354836936,0.5456484293574748,1.0043468165605696,-0.09573213296458823,-0.9919756217156495,-1.4977575513843926,-1.0101169643556425,-0.921997338987362
舅公-甥孙,0.5413638087425889,0.28673410547173067,0.4689388988865226,0.8847823879582295,0.2991204986622644,0.28298386075448123,0.10559796443611852,0.0005399521788833112,0.03986676806333748,1.5474605545193127,1.5515487795327116,0.6074432613143245,0.9260551967333689,0.8167152425162691,0.9120140099508802,0.12870285533874282,0.9643286619237849,0.26020798415042473,1.149122107102996,0.24019541681720458,1.4877913341571845,0.7774411227560433,1.3650031299943888,0.5936793576453165,-0.8686169280781649,1.148165309671732,-0.13237782445623242,0.4899558766648757,-0.1270445976757818,1.8522583831579245,-0.4663634364999268,1.1663873175208606,1.2122565112844084
舅母-外甥,0.5865666128487035,0.15291166852683521,0.7151210128067024,0.22939019516532527,0.4165335184386193,0.8582419569183128,0.7120190522460164,0.6374622313831707,-0.3629830937495694,0.894798576691027,-0.2188156420928049,0.33684015854636346,-0.06700450354725207,0.38674361572031696,0.716416423965528,0.5302927668600929,1.1333616673628075,-0.567462878224606,0.36644088861392043,1.0408757377461355,-0.36218963243721847,0.4422765063504239,0.023644177870516647,0.9861060678497491,0.9707826358636903,-0.8949644383059078,-0.19252531471390033,0.3981003516835018,0.5853139745038746,2.022294111710149,0.358751855407646,-0.019030193144020678,0.7086124952156029
舅母-外甥女,0.4208229977929502,-0.1268988814488553,-0.9539937195721143,0.344623987304737,-0.8027555330850672,0.20010769435799666,0.7305829630973398,0.5721368694135002,0.7526011389630948,0.65005033500542,-0.7642792747017478,0.0963040671970648,-0.09225178406286108,0.5571097319979582,-0.3969852193357075,-1.6951846594873887,-1.3903404138430677,-0.6505762702622659,-0.7054920845341612,-0.33629441425162565,-0.88375053145299,0.24676381344714599,-0.6554187916421935,0.7898927127475328,-0.7561841918958998,0.346937957523638,0.7917063440479333,0.636924716635074,-0.6945830205661676,-0.5514285068303405,-0.23429976065092192,-0.9372429370606704,-0.6527223204951292
舅父-外甥,-0.2019711921135172,0.10830418954520334,0.843135712045196,0.9808105480744058,0.2991204986622644,-0.3605251959711617,0.05609420216592351,0.15296579677478084,-0.20804083920614416,-1.389518345707972,-0.36235870330568465,0.26668379856948443,-0.6897707562656076,-0.15680542192739513,0.9120140099508802,0.3964294630196429,0.00516463106049262,-0.5016647761947917,-0.5523588026558638,-0.01602228588005331,1.0241816461431654,-0.13495144412592064,-0.4961324160774838,-0.25154740279499976,-0.05910122756585709,0.4003531143335109,-0.13237782445623242,-0.24488832318611567,-0.1896695270981693,0.7083816638065958,-1.4805676494696514,-0.5631562636131463,0.6338138789677604
舅父-外甥女,-0.2019711921135172,0.14074599244093564,0.4689388988865226,0.5102725635051414,0.11848508362171815,0.3609849585394073,-0.042913322374468106,0.30539164137067926,-1.3732065933727042,-0.7164606810725527,-0.6877229753882119,0.2867284728485932,-1.1105587648590913,0.10280008859091443,-0.1913569879152092,0.24025560853911815,0.901432659899962,-1.0834585204584117,-0.4162403298751551,0.005329189344717879,-1.0442308080732274,-0.11633118765894165,0.09071212547671036,0.11069263739370722,0.12079115032576701,-0.2584338196549219,0.3488020976051081,0.29399742337127766,0.5618296259704794,0.1209855106261839,-0.03661588863139917,-0.6991877812304278,0.1949953303137514
舅父-甥女婿,0.36055259231813075,0.7976925010795134,0.9219139884996531,0.8127612678710971,-0.36923053698775643,0.4194857818781021,0.6748912305433696,0.8171069767997645,-2.2408832188158874,-1.8892126724827532,-0.4484845400334124,-0.4749691497575196,-0.8244229190155224,-0.6111150653344389,-0.2615715059612329,-0.44021618598316975,0.36681664269747155,-0.2869551800975035,0.026144706662148492,-0.5284576912745691,-0.88375053145299,-0.25598311116128303,-0.2530111060050319,0.6842393676924933,0.6065005706331518,-0.45428939462445606,-0.14331373177580864,-0.9429903130445575,1.2428757334389422,0.26010565216891307,-0.05380579054614039,-0.7186208551757538,-1.1314334644813209
舅表兄弟,1.264608674440422,-0.8568394466028305,0.0652002320574286,-1.3478723347428727,0.06429445910955431,0.03923043017658605,1.2318085560830714,-1.07732852032068,0.8827526327795723,-0.17597498068350387,0.09697909257553043,1.0283814211755973,0.9176394365614994,0.07034939977612607,-0.5925828053210597,0.12870285533874282,0.4847466464921386,1.3545343126462814,-0.0759441479233831,-0.5284576912745691,0.9350259369097005,0.6377891992537019,-1.2087293593932906,0.1710659774251584,-0.6617406935027973,-0.8014879138886302,0.840917926986025,0.6736669266276235,-0.5419347550990984,0.26010565216891307,0.5908155312566508,0.9720565780676013,0.6038944324686235
